Symbol,Category
SPY,Broad Market
QQQ,Nasdaq 100
QQQM,Nasdaq 100
XLK,Technology
VGT,Technology
SMH,Semiconductors
XLF,Financials
KRE,Regional Banks
XLE,Energy
XLV,Health Care
XBI,Biotech
XLI,Industrials
ITB,Home Builders
XLY,Consumer Discretionary
XLP,Consumer Staples
XLU,Utilities
XLB,Materials
XLRE,Real Estate
XLC,Communication Services
GDX,Gold Miners
AAAU,Gold
VUG,Large-Cap Growth
VO,Mid-Cap
VB,Small-Cap
